reference_point,reference_x_m,reference_y_m,raw_side,surface
128,0.0441789273512,0.102806350739,upper,suction
129,0.0440245184696,0.103165285982,upper,suction
130,0.0438695508176,0.103523979977,upper,suction
131,0.0437140123069,0.103882426614,upper,suction
132,0.0435578908493,0.104240619783,upper,suction
133,0.0434011743565,0.104598553375,upper,suction
134,0.0432438507403,0.104956221278,upper,suction
135,0.0430859079125,0.105313617384,upper,suction
136,0.0429273337699,0.105670735573,upper,suction
137,0.0427681140581,0.106027568511,upper,suction
138,0.0426082280401,0.106384105202,upper,suction
139,0.0424476501051,0.106740331893,upper,suction
140,0.0422863541144,0.107096234536,upper,suction
141,0.0421243139293,0.10745179908,upper,suction
142,0.041961503411,0.107807011477,upper,suction
143,0.0417978964209,0.108161857676,upper,suction
144,0.0416334668201,0.108516323629,upper,suction
145,0.0414681884701,0.108870395284,upper,suction
146,0.0413020352321,0.109224058594,upper,suction
147,0.0411349809674,0.109577299508,upper,suction
148,0.0409669995373,0.109930103976,upper,suction
149,0.040798064803,0.110282457949,upper,suction
150,0.0406281506259,0.110634347378,upper,suction
151,0.0404572308672,0.110985758213,upper,suction
152,0.0402852791996,0.111336676261,upper,suction
153,0.0401122626537,0.111687082291,upper,suction
154,0.0399381338995,0.112036946176,upper,suction
155,0.0397628372165,0.112386231426,upper,suction
156,0.0395863164014,0.112734901182,upper,suction
157,0.0394085152506,0.113082918588,upper,suction
158,0.0392293775606,0.113430246785,upper,suction
159,0.0390488471279,0.113776848916,upper,suction
160,0.038866867749,0.114122688123,upper,suction
161,0.0386833832205,0.114467727548,upper,suction
162,0.0384983373387,0.114811930334,upper,suction
163,0.0383116739002,0.115155259623,upper,suction
164,0.0381233367015,0.115497678557,upper,suction
165,0.0379332695392,0.115839150278,upper,suction
166,0.0377414162096,0.11617963793,upper,suction
167,0.0375477205093,0.116519104654,upper,suction
168,0.0373521259638,0.116857512949,upper,suction
169,0.0371545720818,0.117194815782,upper,suction
170,0.0369549918925,0.117530950744,upper,suction
171,0.0367533156297,0.117865848791,upper,suction
172,0.0365494734648,0.118199440731,upper,suction
173,0.0363433955696,0.118531657374,upper,suction
174,0.0361350121154,0.118862429528,upper,suction
175,0.0359242532739,0.119191688001,upper,suction
176,0.0357110492166,0.119519363603,upper,suction
177,0.0354953301151,0.119845387143,upper,suction
178,0.0352770261409,0.120169689428,upper,suction
179,0.0350560674655,0.120492201269,upper,suction
180,0.0348323842606,0.120812853472,upper,suction
181,0.0346059066976,0.121131576848,upper,suction
182,0.0343765649482,0.121448302205,upper,suction
183,0.0341442891838,0.121762960352,upper,suction
184,0.0339090094303,0.122075478771,upper,suction
185,0.0336706545575,0.122385758556,upper,suction
186,0.0334291519964,0.122693667963,upper,suction
187,0.0331844287487,0.122999065439,upper,suction
188,0.0329364118142,0.123301809398,upper,suction
189,0.0326850281929,0.123601758252,upper,suction
190,0.0324302048846,0.123898770414,upper,suction
191,0.0321718688895,0.124192704297,upper,suction
192,0.0319099472073,0.124483418315,upper,suction
193,0.0316443668381,0.124770770879,upper,suction
194,0.0313750547817,0.125054620402,upper,suction
195,0.0311019380382,0.125334825298,upper,suction
196,0.0308249436074,0.12561124398,upper,suction
197,0.0305439984893,0.125883734859,upper,suction
198,0.0302590296839,0.126152156349,upper,suction
199,0.0299699641914,0.126416366863,upper,suction
200,0.0296767370038,0.126676217102,upper,suction
201,0.0293793197879,0.126931522381,upper,suction
202,0.0290777193268,0.127182064131,upper,suction
203,0.0287719488366,0.127427617578,upper,suction
204,0.0284620215337,0.127667957946,upper,suction
205,0.028147950634,0.12790286046,upper,suction
206,0.0278297493538,0.128132100346,upper,suction
207,0.0275074309092,0.128355452827,upper,suction
208,0.0271810085165,0.128572693129,upper,suction
209,0.0268504953918,0.128783596476,upper,suction
210,0.0265159047512,0.128987938094,upper,suction
211,0.0261772498109,0.129185493207,upper,suction
212,0.0258345437871,0.12937603704,upper,suction
213,0.025487799896,0.129559344817,upper,suction
214,0.0251370313536,0.129735191765,upper,suction
215,0.0247822517924,0.129903353137,upper,suction
216,0.0244235108343,0.130063606889,upper,suction
217,0.0240609559742,0.130215738306,upper,suction
218,0.0236948032993,0.130359537817,upper,suction
219,0.0233252751897,0.130494796319,upper,suction
220,0.0229525940256,0.130621304713,upper,suction
221,0.0225769821873,0.130738853897,upper,suction
222,0.0221986620549,0.13084723477,upper,suction
223,0.0218178560086,0.13094623823,upper,suction
224,0.0214347864287,0.131035655178,upper,suction
225,0.0210496756954,0.131115276512,upper,suction
226,0.0206627461888,0.13118489313,upper,suction
227,0.0202742202892,0.131244295932,upper,suction
228,0.0198843203768,0.131293275817,upper,suction
229,0.0194932688317,0.131331623684,upper,suction
230,0.0191012880342,0.131359130431,upper,suction
231,0.0187086019778,0.131375591885,upper,suction
232,0.0183154616581,0.131380886333,upper,suction
233,0.0179221636631,0.131375031296,upper,suction
234,0.0175290253434,0.131358107703,upper,suction
235,0.0171363646088,0.13133019819,upper,suction
236,0.0167444993691,0.131291385393,upper,suction
237,0.0163537475341,0.131241751949,upper,suction
238,0.0159644270137,0.131181380492,upper,suction
239,0.0155768557177,0.131110353661,upper,suction
240,0.0151913515558,0.13102875409,upper,suction
241,0.014808232438,0.130936664416,upper,suction
242,0.0144278162741,0.130834167276,upper,suction
243,0.0140504209738,0.130721345305,upper,suction
244,0.0136763644471,0.130598281139,upper,suction
245,0.0133059646036,0.130465057416,upper,suction
246,0.0129395393533,0.13032175677,upper,suction
247,0.0125773932492,0.130168474139,upper,suction
248,0.0122197463527,0.130005382273,upper,suction
249,0.0118667240039,0.129832741153,upper,suction
250,0.0115184279409,0.129650832498,upper,suction
251,0.0111749598862,0.129459938042,upper,suction
252,0.0108364215625,0.129260339516,upper,suction
253,0.0105029146922,0.129052318654,upper,suction
254,0.010174540998,0.128836157188,upper,suction
255,0.00985140220239,0.128612136852,upper,suction
256,0.00953360002804,0.128380539378,upper,suction
257,0.00922123619749,0.128141646499,upper,suction
258,0.00891441243333,0.127895739948,upper,suction
259,0.00861323045813,0.127643101457,upper,suction
260,0.00831779199447,0.12738401276,upper,suction
261,0.00802819876493,0.12711875559,upper,suction
262,0.00774455231547,0.126847611653,upper,suction
263,0.0074669131598,0.126570856956,upper,suction
264,0.00719520806579,0.126288748911,upper,suction
265,0.00692925806887,0.126001530235,upper,suction
266,0.00666887136232,0.125709441857,upper,suction
267,0.00641385613943,0.125412724708,upper,suction
268,0.00616402059345,0.12511161972,upper,suction
269,0.00591917291768,0.124806367822,upper,suction
270,0.00567912130539,0.124497209946,upper,suction
271,0.00544367394986,0.124184387022,upper,suction
272,0.00521263904435,0.12386813998,upper,suction
273,0.00498582478216,0.123548709752,upper,suction
274,0.00476303935655,0.123226337268,upper,suction
275,0.0045440909608,0.122901263459,upper,suction
276,0.0043287877882,0.122573729255,upper,suction
277,0.00411693803201,0.122243975587,upper,suction
278,0.00390835151185,0.121912241748,upper,suction
279,0.00370289226262,0.121578712416,upper,suction
280,0.00350053963782,0.12124345611,upper,suction
281,0.00330133939491,0.120906474453,upper,suction
282,0.00310534096564,0.12056776537,upper,suction
283,0.00291259378176,0.120227326786,upper,suction
284,0.002723147275,0.119885156624,upper,suction
285,0.00253705087711,0.11954125281,upper,suction
286,0.00235435401983,0.119195613267,upper,suction
287,0.00217510613491,0.11884823592,upper,suction
288,0.00199935665408,0.118499118692,upper,suction
289,0.00182715500909,0.118148259509,upper,suction
290,0.00165855063169,0.117795656295,upper,suction
291,0.00149359295362,0.117441306973,upper,suction
292,0.00133233140661,0.117085209469,upper,suction
293,0.00117481542242,0.116727361706,upper,suction
294,0.0010213230035,0.116367694369,upper,suction
295,0.000873275005871,0.11600580195,upper,suction
296,0.000733235139111,0.115640942741,upper,suction
297,0.000603992492056,0.115272309259,upper,suction
298,0.000487834206044,0.114899323643,upper,suction
299,0.000385512628917,0.114522110147,upper,suction
300,0.000296615060906,0.114141325995,upper,suction
301,0.000220606843261,0.113757684646,upper,suction
302,0.000157161743889,0.113371817299,upper,suction
303,0.00010638081436,0.112984186523,upper,suction
304,6.86029924958e-05,0.112595160999,upper,suction
305,4.41609409439e-05,0.112205106793,upper,suction
306,3.31714449574e-05,0.111814414944,upper,suction
307,3.5432759871e-05,0.111423513341,lower,pressure
308,5.06204967222e-05,0.11103284406,lower,pressure
309,7.84461966393e-05,0.110642850859,lower,pressure
310,0.000118857500583,0.110253986779,lower,pressure
311,0.000172065586723,0.109866715227,lower,pressure
312,0.000238346651093,0.109481502157,lower,pressure
313,0.000317905295442,0.109098806979,lower,pressure
314,0.000410683888497,0.108719065132,lower,pressure
315,0.000516402617014,0.10834269175,lower,pressure
316,0.000634750508781,0.107970098719,lower,pressure
317,0.000765431086243,0.107601679868,lower,pressure
318,0.000908182239515,0.107237786204,lower,pressure
319,0.00106276356444,0.106878741691,lower,pressure
320,0.00122894088107,0.1065248726,lower,pressure
321,0.00140655753803,0.106176575039,lower,pressure
322,0.00159558721168,0.105834362521,lower,pressure
323,0.00179606262798,0.105498801748,lower,pressure
324,0.00200799070529,0.105170436807,lower,pressure
325,0.00223115980749,0.104849619962,lower,pressure
326,0.00246508558377,0.104536464118,lower,pressure
327,0.00270920185681,0.104231010363,lower,pressure
328,0.00296302856349,0.103933408459,lower,pressure
329,0.00322647298365,0.103644296467,lower,pressure
330,0.00349980879966,0.103364774345,lower,pressure
331,0.00378337039443,0.103096017984,lower,pressure
332,0.00407702108467,0.102838551031,lower,pressure
333,0.00437930647196,0.102591072615,lower,pressure
334,0.00468783007964,0.102350977459,lower,pressure
335,0.00500012881039,0.102115560299,lower,pressure
336,0.00531430875141,0.101882720704,lower,pressure
