comparison,quantity,surface,region,mae,rmse,maximum_absolute_difference,normalized_mae_percent
medium_vs_fine,wall_temperature_K,pressure,trailing_edge_last_5_percent,0.9273194950427873,0.9449362424776886,1.4661493360000577,4.839137736810587
coarse_vs_fine,heat_flux_into_vane_W_m2,pressure,trailing_edge_last_5_percent,4095.7401717260373,6309.166843329494,17781.7321052,3.957331524167125
medium_vs_fine,heat_flux_into_vane_W_m2,pressure,trailing_edge_last_5_percent,4198.502732498336,6563.575349345959,15773.21723542457,4.056621397107716
coarse_vs_fine,htc_nasa_W_m2K,pressure,trailing_edge_last_5_percent,41.92578117267939,65.16829399631669,187.96085670879606,3.7767158302145534
medium_vs_fine,htc_nasa_W_m2K,pressure,trailing_edge_last_5_percent,42.99354465187886,67.9786168634939,166.64013179247138,3.8729010203773404
coarse_vs_fine,wall_yplus,pressure,trailing_edge_last_5_percent,0.023288330918211156,0.04146015578318909,0.14009372138164294,6.546492724709132
medium_vs_fine,wall_yplus,pressure,trailing_edge_last_5_percent,0.020767415046545848,0.03511034844628563,0.11334631272137746,5.837847804151278
coarse_vs_fine,ps_over_pt,suction,full_surface,0.0012762812914312524,0.0018953605051215193,0.019343084276869704,0.265145849462844
medium_vs_fine,ps_over_pt,suction,full_surface,0.0009286954797354941,0.001560762041491067,0.01857328066121844,0.19293532978974548
coarse_vs_fine,wall_temperature_K,suction,full_surface,0.5515815861183451,0.691000509571236,1.6871895709999762,0.7406317840941644
medium_vs_fine,wall_temperature_K,suction,full_surface,0.28934632366567503,0.39540980604630477,1.5189524710000342,0.38851747286505195
coarse_vs_fine,heat_flux_into_vane_W_m2,suction,full_surface,949.6594278397935,1469.4558434882604,14853.919544499993,0.6152155017293669
medium_vs_fine,heat_flux_into_vane_W_m2,suction,full_surface,518.2884922472097,769.0105754794561,2901.3752818964567,0.33576154298150696
coarse_vs_fine,htc_nasa_W_m2K,suction,full_surface,9.025527374836512,13.156320875113597,98.19283813041454,1.1024521641815836
medium_vs_fine,htc_nasa_W_m2K,suction,full_surface,5.022505916584885,7.223513237929355,24.726275479416017,0.613490191475278
coarse_vs_fine,wall_yplus,suction,full_surface,0.0027130775999646656,0.004521934569752192,0.060597037051,0.85740030828131
medium_vs_fine,wall_yplus,suction,full_surface,0.0015710728528052608,0.0031979220926774852,0.04689355984100001,0.4964982750014859
coarse_vs_fine,ps_over_pt,suction,core_1_to_99_percent,0.0012187791538787042,0.0016451492207221917,0.006302056726102956,0.2563074441331995
medium_vs_fine,ps_over_pt,suction,core_1_to_99_percent,0.0008666811143822707,0.0012478763127630513,0.005048636341534407,0.1822617498821616
coarse_vs_fine,wall_temperature_K,suction,core_1_to_99_percent,0.5478762621225071,0.6858437272537883,1.4680416017133666,0.8009985457993382
medium_vs_fine,wall_temperature_K,suction,core_1_to_99_percent,0.28308050895491016,0.3834328969041981,0.9601469696390268,0.41386548695975095
coarse_vs_fine,heat_flux_into_vane_W_m2,suction,core_1_to_99_percent,896.7175471389056,1257.8644041922114,5096.090950668688,0.6293338642038058
medium_vs_fine,heat_flux_into_vane_W_m2,suction,core_1_to_99_percent,500.73131036437525,746.4827011923142,2901.3752818964567,0.35142299990102993
coarse_vs_fine,htc_nasa_W_m2K,suction,core_1_to_99_percent,8.655142898049071,12.124450126052434,43.86863411172976,1.2063133580813785
medium_vs_fine,htc_nasa_W_m2K,suction,core_1_to_99_percent,4.874968015541127,7.043240367519931,24.726275479416017,0.6794502536396354
coarse_vs_fine,wall_yplus,suction,core_1_to_99_percent,0.0025662620484646946,0.0035981120837608274,0.012778091521376822,1.0564775463955607
medium_vs_fine,wall_yplus,suction,core_1_to_99_percent,0.0014161529774540493,0.0022161381408581263,0.00805458354579719,0.5830011879872153
coarse_vs_fine,ps_over_pt,suction,trailing_edge_last_5_percent,0.0020488565281347247,0.004310518496640418,0.019343084276869704,3.626264492666717
medium_vs_fine,ps_over_pt,suction,trailing_edge_last_5_percent,0.0025773849188922304,0.0043934859127675585,0.01857328066121844,4.561705169186452
coarse_vs_fine,wall_temperature_K,suction,trailing_edge_last_5_percent,1.2067442555577548,1.2116449285323754,1.6871895709999762,4.817524839078375
medium_vs_fine,wall_temperature_K,suction,trailing_edge_last_5_percent,0.943178925252714,0.9513266869597233,1.5189524710000342,3.765327971667092
coarse_vs_fine,heat_flux_into_vane_W_m2,suction,trailing_edge_last_5_percent,1640.6656850136558,1698.6885281137766,2560.0974161153536,2.5685961377658146
medium_vs_fine,heat_flux_into_vane_W_m2,suction,trailing_edge_last_5_percent,1053.1147435202097,1111.021376727367,1781.2227284539076,1.6487371483043682
coarse_vs_fine,htc_nasa_W_m2K,suction,trailing_edge_last_5_percent,19.31979072366967,19.75967592612315,28.143503614841677,4.059409030119183
medium_vs_fine,htc_nasa_W_m2K,suction,trailing_edge_last_5_percent,13.060677238069273,13.419870202572387,20.354864616552618,2.7442652913799233
coarse_vs_fine,wall_yplus,suction,trailing_edge_last_5_percent,0.00856594571575318,0.013736793791616136,0.060597037051,4.238728198214526
medium_vs_fine,wall_yplus,suction,trailing_edge_last_5_percent,0.006527978317040191,0.01093133002149015,0.04689355984100001,3.2302709692502742
