cellnumber,    x-coordinate,    y-coordinate,        pressure,     temperature,          y-plus,       heat-flux,face-area-magnitude
       234, 2.786821220E-03, 1.199943423E-01, 3.909584590E+05, 6.573150870E+02, 2.299732339E-01,-9.744127363E+04, 1.097622162E-03
       235, 3.329691244E-03, 1.209487021E-01, 3.888985999E+05, 6.586727838E+02, 2.429364788E-01,-9.901632147E+04, 1.098491823E-03
       236, 3.897786140E-03, 1.218894124E-01, 3.864998126E+05, 6.602596269E+02, 2.574265270E-01,-1.003928210E+05, 1.099556110E-03
       237, 4.491405562E-03, 1.228150949E-01, 3.836377270E+05, 6.620555575E+02, 2.740358450E-01,-1.022759252E+05, 1.100006419E-03
       238, 5.113403313E-03, 1.237218380E-01, 3.802097765E+05, 6.639775040E+02, 2.916965512E-01,-1.044215585E+05, 1.099453257E-03
       239, 5.767964292E-03, 1.246043518E-01, 3.761921862E+05, 6.659243200E+02, 3.088493375E-01,-1.061188539E+05, 1.098525162E-03
       240, 6.459328812E-03, 1.254573315E-01, 3.715710095E+05, 6.678504129E+02, 3.256514197E-01,-1.075240789E+05, 1.098014431E-03
       241, 7.191737182E-03, 1.262754500E-01, 3.663455973E+05, 6.697325063E+02, 3.422111377E-01,-1.093062499E+05, 1.098840928E-03
       242, 7.969053462E-03, 1.270533055E-01, 3.605761740E+05, 6.715308593E+02, 3.598759992E-01,-1.123481190E+05, 1.101426893E-03
       243, 8.792645298E-03, 1.277852058E-01, 3.541286855E+05, 6.730825998E+02, 3.743860784E-01,-1.135244040E+05, 1.103195366E-03
       244, 9.619672783E-03, 1.284365654E-01, 3.469860146E+05, 6.742847575E+02, 3.874941473E-01,-1.110731692E+05, 1.003253155E-03
       245, 1.048739161E-02, 1.290325373E-01, 3.393746780E+05, 6.754806850E+02, 3.998952112E-01,-1.120638441E+05, 1.103155420E-03
       246, 1.143498812E-02, 1.295955628E-01, 3.309317829E+05, 6.766754130E+02, 4.158699358E-01,-1.152746428E+05, 1.102714176E-03
       247, 1.242081355E-02, 1.300884038E-01, 3.219547344E+05, 6.775950587E+02, 4.265091349E-01,-1.166122916E+05, 1.103112975E-03
       248, 1.344194356E-02, 1.305054128E-01, 3.128420847E+05, 6.782541811E+02, 4.340319865E-01,-1.173194936E+05, 1.104524667E-03
       249, 1.449327357E-02, 1.308429986E-01, 3.036133157E+05, 6.786575961E+02, 4.387777172E-01,-1.171160047E+05, 1.105511395E-03
       250, 1.556798257E-02, 1.310991496E-01, 2.942235318E+05, 6.788635481E+02, 4.428620420E-01,-1.168685942E+05, 1.105742320E-03
       251, 1.665904373E-02, 1.312720627E-01, 2.846480718E+05, 6.789170939E+02, 4.465378244E-01,-1.172052019E+05, 1.105247291E-03
       252, 1.775942557E-02, 1.313598752E-01, 2.751805077E+05, 6.788401403E+02, 4.507728128E-01,-1.193192261E+05, 1.104197999E-03
       253, 1.886214502E-02, 1.313608885E-01, 2.661007761E+05, 6.783635464E+02, 4.451340789E-01,-1.167075011E+05, 1.102979027E-03
       254, 1.996082440E-02, 1.312752813E-01, 2.574912511E+05, 6.776163756E+02, 4.327901413E-01,-1.108516071E+05, 1.102714909E-03
       255, 2.105009556E-02, 1.311062872E-01, 2.491519144E+05, 6.770543076E+02, 4.360648241E-01,-1.128732441E+05, 1.103412166E-03
       256, 2.212503180E-02, 1.308585107E-01, 2.401774939E+05, 6.764686793E+02, 4.369704824E-01,-1.147074938E+05, 1.104227935E-03
       257, 2.318071760E-02, 1.305365562E-01, 2.325768164E+05, 6.757840090E+02, 4.269836503E-01,-1.144385914E+05, 1.104426096E-03
       258, 2.421223558E-02, 1.301450431E-01, 2.267839999E+05, 6.751604237E+02, 4.241206190E-01,-1.155412949E+05, 1.103394166E-03
       259, 2.521507256E-02, 1.296886355E-01, 2.216201957E+05, 6.746214303E+02, 4.182993035E-01,-1.186323303E+05, 1.101332623E-03
       260, 2.618665993E-02, 1.291721165E-01, 2.175206404E+05, 6.740049804E+02, 4.144916808E-01,-1.194156043E+05, 1.100341352E-03
       261, 2.712633274E-02, 1.286004633E-01, 2.140204725E+05, 6.733227856E+02, 4.067491942E-01,-1.195700017E+05, 1.100329497E-03
       262, 2.803380042E-02, 1.279785931E-01, 2.107899614E+05, 6.727046343E+02, 4.042518106E-01,-1.203285266E+05, 1.100609409E-03
       263, 2.890876867E-02, 1.273115277E-01, 2.079887543E+05, 6.721237618E+02, 3.989251063E-01,-1.207304604E+05, 1.100560651E-03
       264, 2.975096181E-02, 1.266041845E-01, 2.063102685E+05, 6.716351351E+02, 3.917862444E-01,-1.213967149E+05, 1.099658864E-03
       265, 3.056049906E-02, 1.258611530E-01, 2.056151867E+05, 6.712545568E+02, 3.868685626E-01,-1.224606667E+05, 1.098518772E-03
       266, 3.133841977E-02, 1.250861138E-01, 2.049255947E+05, 6.709526595E+02, 3.863529019E-01,-1.236219597E+05, 1.098130133E-03
       267, 3.208629787E-02, 1.242822185E-01, 2.035499038E+05, 6.706621861E+02, 3.852690995E-01,-1.237708813E+05, 1.098191730E-03
       268, 3.280575201E-02, 1.234526187E-01, 2.027849609E+05, 6.704019595E+02, 3.790442854E-01,-1.237539808E+05, 1.098341481E-03
       269, 3.349839523E-02, 1.226004362E-01, 2.032956295E+05, 6.702171826E+02, 3.733112927E-01,-1.244027887E+05, 1.098251175E-03
       270, 3.416583687E-02, 1.217287332E-01, 2.041427888E+05, 6.700959865E+02, 3.711894484E-01,-1.255961339E+05, 1.097724183E-03
       271, 3.480966762E-02, 1.208400130E-01, 2.047052521E+05, 6.699857656E+02, 3.705665084E-01,-1.266164770E+05, 1.097294285E-03
       272, 3.543143347E-02, 1.199360564E-01, 2.052382646E+05, 6.698563793E+02, 3.687301224E-01,-1.273425395E+05, 1.097158034E-03
       273, 3.603268787E-02, 1.190183833E-01, 2.061122171E+05, 6.697062936E+02, 3.657706933E-01,-1.281225636E+05, 1.097167379E-03
       274, 3.661496937E-02, 1.180885285E-01, 2.073912377E+05, 6.695295632E+02, 3.620955075E-01,-1.289360567E+05, 1.097184841E-03
       275, 3.717982024E-02, 1.171480194E-01, 2.090842015E+05, 6.693409871E+02, 3.592009212E-01,-1.302589574E+05, 1.097086099E-03
       276, 3.772874549E-02, 1.161982939E-01, 2.109566616E+05, 6.691506686E+02, 3.578257358E-01,-1.325888829E+05, 1.096878054E-03
       277, 3.826311976E-02, 1.152404845E-01, 2.126159653E+05, 6.688398522E+02, 3.560888320E-01,-1.333300317E+05, 1.096779339E-03
       278, 3.878420219E-02, 1.142754182E-01, 2.140625407E+05, 6.684932608E+02, 3.555570362E-01,-1.346205622E+05, 1.096773187E-03
       279, 3.929322958E-02, 1.133039296E-01, 2.153139904E+05, 6.680848868E+02, 3.548991240E-01,-1.355044643E+05, 1.096801298E-03
       280, 3.979144990E-02, 1.123268306E-01, 2.163737784E+05, 6.676434761E+02, 3.531134252E-01,-1.363543778E+05, 1.096811403E-03
       281, 4.028009251E-02, 1.113449186E-01, 2.173712298E+05, 6.672177658E+02, 3.557529718E-01,-1.383596530E+05, 1.096760976E-03
       282, 4.076022282E-02, 1.103588864E-01, 2.182140465E+05, 6.667035632E+02, 3.540363162E-01,-1.388663550E+05, 1.096691512E-03
       283, 4.123258963E-02, 1.093691662E-01, 2.190751410E+05, 6.661057138E+02, 3.494150713E-01,-1.374831662E+05, 1.096657524E-03
       284, 4.169777408E-02, 1.083760709E-01, 2.200890641E+05, 6.657316168E+02, 3.526665448E-01,-1.416905034E+05, 1.096647163E-03
       285, 4.215634987E-02, 1.073799133E-01, 2.210965902E+05, 6.650761479E+02, 3.461553623E-01,-1.388612591E+05, 1.096646799E-03
       286, 4.260890558E-02, 1.063810065E-01, 2.221191494E+05, 6.646927843E+02, 3.493462687E-01,-1.427816027E+05, 1.096643981E-03
       287, 4.305599257E-02, 1.053796485E-01, 2.230665398E+05, 6.641587777E+02, 3.488355283E-01,-1.435299254E+05, 1.096631429E-03
       288, 4.349805415E-02, 1.043760702E-01, 2.238412067E+05, 6.635124054E+02, 3.455490545E-01,-1.421492621E+05, 1.096623314E-03
       289, 4.393539205E-02, 1.033704281E-01, 2.246029690E+05, 6.630462022E+02, 3.488776349E-01,-1.461024658E+05, 1.096622822E-03
       290, 4.436827451E-02, 1.023628637E-01, 2.253900227E+05, 6.622992972E+02, 3.435137132E-01,-1.438749907E+05, 1.096625869E-03
       291, 4.479696974E-02, 1.013535038E-01, 2.263216930E+05, 6.617833083E+02, 3.467407304E-01,-1.482577639E+05, 1.096628607E-03
       292, 4.522174224E-02, 1.003424898E-01, 2.272930028E+05, 6.609334148E+02, 3.399145293E-01,-1.454042135E+05, 1.096627462E-03
       293, 4.564282671E-02, 9.932993352E-02, 2.283844637E+05, 6.604206490E+02, 3.443304610E-01,-1.506886019E+05, 1.096622568E-03
       294, 4.606035352E-02, 9.831590950E-02, 2.293907313E+05, 6.595996928E+02, 3.393290582E-01,-1.485453749E+05, 1.096618723E-03
       295, 4.647439346E-02, 9.730045497E-02, 2.303903209E+05, 6.590797279E+02, 3.434389143E-01,-1.532164206E+05, 1.096615962E-03
       296, 4.688499123E-02, 9.628361464E-02, 2.313071469E+05, 6.583667623E+02, 3.406538169E-01,-1.523786386E+05, 1.096613632E-03
       297, 4.729220644E-02, 9.526541084E-02, 2.322742687E+05, 6.577627376E+02, 3.391899445E-01,-1.528599070E+05, 1.096611088E-03
       298, 4.769609496E-02, 9.424589574E-02, 2.333044061E+05, 6.573346232E+02, 3.411041097E-01,-1.559433519E+05, 1.096607959E-03
       299, 4.809676111E-02, 9.322510660E-02, 2.343143057E+05, 6.568558498E+02, 3.403236271E-01,-1.563612800E+05, 1.096606855E-03
       300, 4.849436879E-02, 9.220311791E-02, 2.352326737E+05, 6.564509686E+02, 3.410918172E-01,-1.578427801E+05, 1.096608577E-03
       301, 4.888911918E-02, 9.118002653E-02, 2.360786135E+05, 6.560337029E+02, 3.415889601E-01,-1.588395658E+05, 1.096611305E-03
       302, 4.928120598E-02, 9.015589952E-02, 2.367783517E+05, 6.555858003E+02, 3.423821858E-01,-1.598492457E+05, 1.096613289E-03
       303, 4.967083409E-02, 8.913084120E-02, 2.373439014E+05, 6.550642607E+02, 3.429894889E-01,-1.606069971E+05, 1.096612907E-03
       304, 5.005818978E-02, 8.810492605E-02, 2.377666487E+05, 6.544592032E+02, 3.434083354E-01,-1.613220158E+05, 1.096609692E-03
       305, 5.044339970E-02, 8.707819879E-02, 2.381044364E+05, 6.537720789E+02, 3.440116911E-01,-1.623497965E+05, 1.096606898E-03
       306, 5.082653090E-02, 8.605070412E-02, 2.383364202E+05, 6.530069927E+02, 3.448821411E-01,-1.636779061E+05, 1.096605198E-03
       307, 5.120764673E-02, 8.502244949E-02, 2.384632546E+05, 6.521794088E+02, 3.460961106E-01,-1.650058548E+05, 1.096604228E-03
       308, 5.158679187E-02, 8.399347961E-02, 2.384766167E+05, 6.513358262E+02, 3.469428789E-01,-1.661761026E+05, 1.096603633E-03
       309, 5.196403340E-02, 8.296380192E-02, 2.383733531E+05, 6.505478220E+02, 3.480840602E-01,-1.671318592E+05, 1.096603077E-03
       310, 5.233942345E-02, 8.193346113E-02, 2.382439303E+05, 6.498881852E+02, 3.487930362E-01,-1.676483237E+05, 1.096602791E-03
       311, 5.271304771E-02, 8.090246469E-02, 2.380848238E+05, 6.494333316E+02, 3.494175617E-01,-1.676239049E+05, 1.096603185E-03
