cellnumber,    x-coordinate,    y-coordinate,        pressure,     temperature,          y-plus,       heat-flux,face-area-magnitude
       224, 3.828289360E-02, 6.912662089E-02, 3.900322747E+05, 6.159774804E+02, 2.081839420E-01,-1.091862342E+05, 6.861925954E-04
       225, 3.787390888E-02, 6.967761368E-02, 3.903538375E+05, 6.150297619E+02, 2.062459230E-01,-1.098578556E+05, 6.861910317E-04
       226, 3.746284544E-02, 7.022704929E-02, 3.906657358E+05, 6.141906902E+02, 2.043112536E-01,-1.104544558E+05, 6.861903548E-04
       227, 3.704966977E-02, 7.077490538E-02, 3.909680316E+05, 6.134965323E+02, 2.024022169E-01,-1.109054267E+05, 6.861912246E-04
       228, 5.890699103E-02, 6.318055838E-02, 2.333088755E+05, 6.467770433E+02, 3.538321831E-01,-1.624088676E+05, 6.861773334E-04
       229, 5.868558586E-02, 6.383003294E-02, 2.335967410E+05, 6.465147464E+02, 3.539002736E-01,-1.637770511E+05, 6.861774166E-04
       230, 5.846389011E-02, 6.447941065E-02, 2.338707529E+05, 6.463756981E+02, 3.537108216E-01,-1.648524756E+05, 6.861774997E-04
       231, 5.824190378E-02, 6.512869149E-02, 2.341207021E+05, 6.463771859E+02, 3.534683525E-01,-1.655633907E+05, 6.861775820E-04
       232, 5.801963061E-02, 6.577786803E-02, 2.343425687E+05, 6.465177832E+02, 3.532396733E-01,-1.659057230E+05, 6.861776409E-04
       233, 5.779705569E-02, 6.642694771E-02, 2.345485789E+05, 6.467870644E+02, 3.531013518E-01,-1.659193566E+05, 6.861776350E-04
       234, 5.757417157E-02, 6.707591563E-02, 2.347545319E+05, 6.471772823E+02, 3.530339284E-01,-1.656050624E+05, 6.861775771E-04
       235, 5.735096335E-02, 6.772477180E-02, 2.349783251E+05, 6.476636987E+02, 3.529369015E-01,-1.649896058E+05, 6.861774892E-04
       236, 5.712740868E-02, 6.837351620E-02, 2.352199707E+05, 6.482075273E+02, 3.526843606E-01,-1.641501215E+05, 6.861773942E-04
       237, 5.690350756E-02, 6.902213395E-02, 2.354583710E+05, 6.487650053E+02, 3.522431436E-01,-1.631463069E+05, 6.861773160E-04
       238, 5.667923391E-02, 6.967062503E-02, 2.356734778E+05, 6.492954412E+02, 3.517929204E-01,-1.621028121E+05, 6.861772793E-04
       239, 5.645457655E-02, 7.031898201E-02, 2.358661365E+05, 6.497634333E+02, 3.514808263E-01,-1.611473869E+05, 6.861773099E-04
       240, 5.622952804E-02, 7.096720487E-02, 2.360529743E+05, 6.501527128E+02, 3.512759004E-01,-1.603499815E+05, 6.861774345E-04
       241, 5.600406602E-02, 7.161528617E-02, 2.362379173E+05, 6.504526226E+02, 3.510815746E-01,-1.597390996E+05, 6.861776187E-04
       242, 5.577818677E-02, 7.226321846E-02, 2.364168282E+05, 6.506535402E+02, 3.509024561E-01,-1.593268206E+05, 6.861777431E-04
       243, 5.555186421E-02, 7.291100174E-02, 2.365976774E+05, 6.507531197E+02, 3.507277269E-01,-1.591691350E+05, 6.861778144E-04
       244, 5.532509834E-02, 7.355862111E-02, 2.367642037E+05, 6.507514252E+02, 3.505505999E-01,-1.592594754E+05, 6.861778614E-04
       245, 5.509786680E-02, 7.420608401E-02, 2.369243321E+05, 6.506579659E+02, 3.504807645E-01,-1.596372593E+05, 6.861779139E-04
       246, 5.487015843E-02, 7.485337555E-02, 2.370769973E+05, 6.504883389E+02, 3.504639966E-01,-1.602517315E+05, 6.861780024E-04
       247, 5.464196205E-02, 7.550050318E-02, 2.372357935E+05, 6.502663740E+02, 3.505225712E-01,-1.611021072E+05, 6.861781583E-04
       248, 5.441326275E-02, 7.614744455E-02, 2.374008087E+05, 6.500180491E+02, 3.505047721E-01,-1.621112586E+05, 6.861784139E-04
       249, 5.418404937E-02, 7.679420710E-02, 2.375574229E+05, 6.497709815E+02, 3.503497681E-01,-1.631489659E+05, 6.861788020E-04
       250, 5.395430326E-02, 7.744078338E-02, 2.376957814E+05, 6.495515796E+02, 3.501771908E-01,-1.641502308E+05, 6.861792274E-04
       251, 5.372401327E-02, 7.808715850E-02, 2.378260969E+05, 6.493787372E+02, 3.499857861E-01,-1.651075718E+05, 6.861794282E-04
       252, 5.349315703E-02, 7.873333991E-02, 2.379328818E+05, 6.492645201E+02, 3.497709867E-01,-1.659800303E+05, 6.861794174E-04
       253, 5.326170847E-02, 7.937930524E-02, 2.380253525E+05, 6.492227045E+02, 3.495858837E-01,-1.667401098E+05, 6.861792557E-04
       254, 5.302964896E-02, 8.002505451E-02, 2.380990701E+05, 6.492717236E+02, 3.494345165E-01,-1.673308344E+05, 6.861790061E-04
       255, 5.279695988E-02, 8.067057282E-02, 2.381697599E+05, 6.494202763E+02, 3.493209650E-01,-1.676941218E+05, 6.861787337E-04
       256, 5.256361887E-02, 8.131586015E-02, 2.382465323E+05, 6.496650398E+02, 3.490607559E-01,-1.677912348E+05, 6.861785060E-04
       257, 5.232960358E-02, 8.196090162E-02, 2.383170598E+05, 6.499970597E+02, 3.486240734E-01,-1.676201600E+05, 6.861783926E-04
       258, 5.209489539E-02, 8.260568976E-02, 2.383713642E+05, 6.504035221E+02, 3.481591999E-01,-1.672448544E+05, 6.861784650E-04
       259, 5.185947195E-02, 8.325022459E-02, 2.384111061E+05, 6.508667188E+02, 3.476721301E-01,-1.667090826E+05, 6.861786962E-04
       260, 5.162331834E-02, 8.389448375E-02, 2.384316341E+05, 6.513696463E+02, 3.471622229E-01,-1.660783654E+05, 6.861789092E-04
       261, 5.138641968E-02, 8.453846723E-02, 2.384303664E+05, 6.518977629E+02, 3.467035270E-01,-1.653328334E+05, 6.861791211E-04
       262, 5.114876479E-02, 8.518217504E-02, 2.384087395E+05, 6.524365365E+02, 3.461929299E-01,-1.645484751E+05, 6.861793845E-04
       263, 5.091033131E-02, 8.582559973E-02, 2.383656706E+05, 6.529679493E+02, 3.456878201E-01,-1.637412294E+05, 6.861797527E-04
       264, 5.067111552E-02, 8.646873385E-02, 2.382953532E+05, 6.534788901E+02, 3.450945526E-01,-1.629063522E+05, 6.861802803E-04
       265, 5.043109879E-02, 8.711156994E-02, 2.381891775E+05, 6.539644282E+02, 3.445287488E-01,-1.621479349E+05, 6.861810226E-04
       266, 5.019026622E-02, 8.775409311E-02, 2.380435678E+05, 6.544215664E+02, 3.440382810E-01,-1.614691929E+05, 6.861820360E-04
       267, 4.994861037E-02, 8.839631826E-02, 2.378571521E+05, 6.548486087E+02, 3.435721303E-01,-1.608325530E+05, 6.861833767E-04
       268, 4.970610514E-02, 8.903822303E-02, 2.376286657E+05, 6.552456840E+02, 3.431098583E-01,-1.602282438E+05, 6.861847039E-04
       269, 4.946272075E-02, 8.967979252E-02, 2.373527938E+05, 6.556155578E+02, 3.426956651E-01,-1.596809752E+05, 6.861851969E-04
       270, 4.921840876E-02, 9.032101184E-02, 2.370296468E+05, 6.559634022E+02, 3.423796957E-01,-1.591935933E+05, 6.861849345E-04
       271, 4.897312075E-02, 9.096185863E-02, 2.366622010E+05, 6.562966559E+02, 3.422151752E-01,-1.587673676E+05, 6.861841526E-04
       272, 4.872680828E-02, 9.160230309E-02, 2.362625514E+05, 6.566221512E+02, 3.421052479E-01,-1.583493427E+05, 6.861830993E-04
       273, 4.847942293E-02, 9.224234521E-02, 2.358281235E+05, 6.569454592E+02, 3.419525620E-01,-1.579248610E+05, 6.861820349E-04
       274, 4.823091254E-02, 9.288194776E-02, 2.353404849E+05, 6.572719572E+02, 3.418706593E-01,-1.574644742E+05, 6.861812322E-04
       275, 4.798123240E-02, 9.352108836E-02, 2.348174712E+05, 6.576088718E+02, 3.421063941E-01,-1.570060504E+05, 6.861809761E-04
       276, 4.773033410E-02, 9.415975213E-02, 2.343036785E+05, 6.579624394E+02, 3.424525292E-01,-1.566030086E+05, 6.861815624E-04
       277, 4.747816920E-02, 9.479792416E-02, 2.337759938E+05, 6.583302465E+02, 3.424404708E-01,-1.560867342E+05, 6.861828637E-04
       278, 4.722471535E-02, 9.543557465E-02, 2.331883015E+05, 6.587130429E+02, 3.425068212E-01,-1.554617589E+05, 6.861840367E-04
       279, 4.696995392E-02, 9.607271850E-02, 2.325869798E+05, 6.591128072E+02, 3.428646032E-01,-1.548427853E+05, 6.861850284E-04
       280, 4.671387002E-02, 9.670932591E-02, 2.319699238E+05, 6.595254822E+02, 3.431995910E-01,-1.541961043E+05, 6.861859355E-04
       281, 4.645645618E-02, 9.734539688E-02, 2.313385481E+05, 6.599464539E+02, 3.435124876E-01,-1.534859107E+05, 6.861868558E-04
       282, 4.619769379E-02, 9.798092395E-02, 2.306843387E+05, 6.603728080E+02, 3.438009414E-01,-1.527171978E+05, 6.861878884E-04
       283, 4.593757167E-02, 9.861589968E-02, 2.300053304E+05, 6.608015821E+02, 3.441478226E-01,-1.519016262E+05, 6.861891331E-04
       284, 4.567607492E-02, 9.925030917E-02, 2.293075766E+05, 6.612292332E+02, 3.445690880E-01,-1.510546452E+05, 6.861906914E-04
       285, 4.541319236E-02, 9.988414496E-02, 2.285971422E+05, 6.616513810E+02, 3.451060602E-01,-1.502048914E+05, 6.861926632E-04
       286, 4.514890164E-02, 1.005173996E-01, 2.278915574E+05, 6.620640099E+02, 3.456620806E-01,-1.493799179E+05, 6.861945092E-04
       287, 4.488315806E-02, 1.011500508E-01, 2.271695076E+05, 6.624625732E+02, 3.462034707E-01,-1.485420249E+05, 6.861949555E-04
